,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
66,5637,81061,101495,45634,36636,32222,5295,103634,103167,56230,48122,7924,4878,12791,14475,42059,87230,8224,79151,67066,5543,27589,53872,8219,7030,84362,8192,41340,66954,67014
67,177674,148925,139066,309852,231974,309846,192972,416968,357237,309847,260134,196082,270439,251636,425260,184955,280890,262992,194759,237370,242502,252351,287299,281164,254456,182448,353939,425265,243684,201250
68,231768,270832,176615,429367,248786,187512,156657,210015,310921,192155,159606,193986,440081,143853,285065,286076,286697,378991,316853,219047,116887,308854,144500,437203,150985,314225,431191,235277,181132,285863
69,372712,384294,154510,364482,167480,215948,437195,186814,426027,184401,157929,403082,261933,414718,156348,248964,300360,3052,421187,172928,276517,421032,253152,350726,332841,371299,337973,175245,394100,429860
70,244560,204184,115788,307747,218868,206044,355381,252215,407638,265753,200841,327099,292972,281709,217750,331330,320152,174114,219486,240772,274174,170942,137002,366142,373503,232815,378333,355380,404515,313222
71,516943,516922,516494,516465,516504,516934,516917,516925,516467,516490,516476,516526,516507,516958,516523,516936,516919,516499,516512,516481,516514,516955,516956,516942,516962,516920,516963,516475,516527,516960
72,321804,173390,247473,197053,153179,336266,250365,345612,299691,2382,325119,391541,334294,268790,313715,295543,308056,116097,236724,163669,168246,199300,199159,355368,219327,377181,225122,313711,286490,155387
73,262603,383148,395928,227700,295212,391207,436171,248396,367614,378335,141287,238782,345251,279647,112336,304272,313372,355052,153948,141119,151440,296080,241229,158230,175783,206038,147473,282407,381639,279786
74,378340,160696,439414,428547,427654,355213,407800,345260,186040,295363,349589,355215,173882,198100,275975,321490,268812,270991,244411,238336,331501,321488,413941,180068,324930,272895,240559,194306,316223,352334
75,358838,149413,209699,277956,155105,375089,246837,287286,198065,209419,434919,211965,244176,193417,296880,424318,378822,397246,236137,420710,146962,177874,170935,148677,248458,207505,142702,2871,300181,278380
76,8289,5551,67046,44852,102553,32335,70685,8338,45503,56240,34011,45660,69637,44685,59906,7998,74233,69692,34102,11528,5374,5501,50485,5110,50297,44523,36508,5027,119394,95836
77,459792,462884,460817,485265,494204,491231,479731,488386,483448,460086,466024,478041,461116,476994,489377,488548,488195,466097,491802,484656,471099,472523,474104,487256,467339,471004,494434,464127,463681,466633
78,509113,509070,509027,509023,508996,508912,509063,508970,509110,509204,509219,509123,509071,508914,509172,509046,509107,509152,509055,509147,509079,509013,509191,509153,509168,509145,508960,508998,509061,508905
