State,County,Inc_Muni,Uninc_Comm,Nbrhd_Comm,Post_Comm,Zip_Code,Plus_4,Bulk_Zip,Bulk_Plus4,StN_PreMod,StN_PreDir,StN_PreTyp,StN_PreSep,StreetName,StN_PosTyp,StN_PosDir,StN_PosMod,AddNum_Pre,Add_Number,AddNum_Suf,LandmkPart,LandmkName,Building,Floor,Unit,Room,Addtl_Loc,Milepost,Longitude,Latitude,NatGrid_Co,GUID,Addr_Type,Placement,Source,AddAuth,UniqWithin,LastUpdate,Effective,Expired,STATEFP10,PUMACE10,GEOID10,geometry
OH,Franklin,COLUMBUS,,,COLUMBUS,43203,,,,,,,,GREENWAY,Avenue,,,,1659,,,,,,,,MFRAMR05147**C,0.17237411,-82.9579546833,39.9737965488,17SLE3279926684,{2E76915C-8520-47C3-A6EB-EB3283151CF8},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9234837.2726 4862135.195699997 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43203,,,,,,,,TAYLOR,Avenue,,,,360,,,,,,,,,0,-82.961445718,39.9756276318,17SLE3250626894,{5BB4550C-E1C9-4562-AF07-7B523C4A83BF},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9235225.8928 4862401.185199998 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43206,,,,,,,,HANFORD,Street,,,,1556,,,,,,,,MFRAMR05332**C,0.457,-82.9531499704,39.9351848668,17SLE3311622389,{21517681-8472-4C7E-8542-012811E6DA5C},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9234302.4144 4856527.986400001 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43227,,,,,,,,BROOKWAY,Road,,,,1228,,,,,,E,,,0,-82.8980809824,39.9479988574,17SLE3785223710,{BB4CD064-6107-462E-8B0B-E5B14DFBF8FF},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9228172.1627 4858388.490099996 0)
OH,Franklin,WHITEHALL,,,COLUMBUS,43213,,,,,,,,HAMILTON,Road,,,,106,,,,,,,,SFRASR00317**C,15.37932019,-82.8734220545,39.9783946978,17SLE4002927039,{5CDD9E09-6FEF-4649-B4FB-D4F7068F0584},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9225427.1434 4862803.152400002 0)
OH,Franklin,BEXLEY,,,COLUMBUS,43209,,,,,,,,REMINGTON,Road,,,,840,,,,,,,,MFRAMR09873**C,0.3259066,-82.9300331857,39.9523950668,17SLE3513324257,{E0CBDF37-3148-4EC3-92A8-E51243295897},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9231729.0657 4859026.869900003 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43213,,,,,,,,NAPOLEON,Avenue,,,,542,,,,,,,,MFRAMR09864**C,0.34065952,-82.9062585009,39.9612492827,17SLE3718525196,{CA45306F-5E31-40B1-ADD1-1EEDAC573736},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9229082.4799 4860312.7277000025 0)
OH,Franklin,BEXLEY,,MAYFIELD PL SUB,COLUMBUS,43209,,,,,,,,FERNDALE,Place,,,,934,,,,,,,,MFRAMR04474**C,0.07303421,-82.9398162101,39.9492508999,17SLE3428923926,{063A912E-BFA0-4B6F-B522-D6EE329EFA68},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9232818.107 4858570.296800002 0)
OH,Franklin,BEXLEY,,,COLUMBUS,43209,,,,,,,,GOULD,Road,,,,185,,,,,,,,MFRAMR07970**C,0.27921479,-82.9231870944,39.974988927,17SLE3577226752,{CC81DBC8-2176-4A26-A546-06E7A8721431},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9230966.9623 4862308.4038999975 0)
OH,Franklin,WHITEHALL,,,COLUMBUS,43213,,,,,,,,ELBERN,Avenue,,,,4111,,,,,,,,MFRAMR04146**C,1.40121493,-82.8901389806,39.9666241285,17SLE3857425763,{A3B717A2-01F8-4FFB-A799-D4967FA8B724},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9227288.0631 4861093.373499997 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43206,,,,,,,,LINWOOD,Avenue,,,,1158,,,,,,,,MFRAMR06941**C,1.07477756,-82.9660578016,39.9418875028,17SLE3202923157,{3F5DE6E7-CDB7-4CE9-A8A3-6BF551F942BD},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9235739.3076 4857501.119800001 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43227,,,,,,,,BERWICK ARMS,Place,,,,1270,,,,,,D,,,0,-82.8988654892,39.9467251692,17SLE3778223570,{3F101F88-989B-4A96-AC07-714624790203},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9228259.4936 4858203.543700002 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43213,,,,,,,,RICHEY,Lane,,,,5225,,,,23,,2,,,0,-82.8629591194,39.9807363663,17SLE4092827281,{E906FEC8-AB14-4224-825C-7660496C9F51},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9224262.4148 4863143.335500002 0)
OH,Franklin,BEXLEY,,EASTLAWN SUB,COLUMBUS,43209,,,,,,,,ROOSEVELT,Avenue,,,,730,,,,,,,,MFRAMR09876**C,1.35367972,-82.92731208,39.9550129374,17SLE3537124542,{FA13EB8F-2CB8-45D1-BF61-F466759627C7},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9231426.1536 4859407.034100004 0)
