,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
68,231768,270832,176615,429367,248786,187512,156657,210015,310921,192155,159606,193986,440081,143853,285065,286076,286697,378991,316853,219047
69,372712,384294,154510,364482,167480,215948,437195,186814,426027,184401,157929,403082,261933,414718,156348,248964,300360,3052,421187,172928
70,244560,204184,115788,307747,218868,206044,355381,252215,407638,265753,200841,327099,292972,281709,217750,331330,320152,174114,219486,240772
71,516943,516922,516494,516465,516504,516934,516917,516925,516467,516490,516476,516526,516507,516958,516523,516936,516919,516499,516512,516481
72,321804,173390,247473,197053,153179,336266,250365,345612,2382,299691,325119,391541,334294,268790,313715,295543,308056,116097,236724,163669
73,262603,383148,395928,227700,295212,391207,436171,248396,367614,378335,141287,238782,345251,279647,112336,304272,313372,355052,153948,141119
74,378340,160696,439414,428547,427654,355213,407800,345260,186040,295363,349589,355215,173882,198100,275975,321490,268812,270991,244411,238336
75,358838,149413,209699,277956,155105,375089,246837,287286,198065,209419,434919,211965,244176,193417,296880,424318,378822,397246,236137,420710
76,8289,5551,67046,44852,102553,32335,70685,8338,45503,56240,34011,45660,69637,44685,59906,7998,74233,69692,34102,11528
77,459792,462884,460817,485265,494204,491231,479731,488386,483448,460086,466024,478041,461116,476994,489377,488548,488195,466097,491802,484656
78,509113,509070,509027,509023,508996,508912,509063,508970,509110,509204,509219,509123,509071,508914,509172,509046,509107,509152,509055,509147
79,152356,371313,333891,381309,148871,232015,326612,1415,298726,349097,140908,315547,163809,310029,410334,157006,354892,147858,229688,233099
80,58643,97594,59301,36918,58747,37192,54139,8725,24976,85252,108409,63103,53962,96219,108424,37257,61768,37258,28162,23087
81,8469,59104,63161,92583,89288,63154,62293,65517,92699,8687,119086,108404,23258,48358,24873,91127,53199,37298,108379,54761
82,162351,242314,341070,349419,362282,354889,320002,284045,196533,434302,423314,156789,349421,399034,523492,210271,288201,112180,304112,183719
83,418578,199021,232539,146667,316844,202697,174214,203171,418577,259883,332659,257251,363059,411776,155137,161215,353143,255297,322079,439564
